measurement_id,query_id,query,rank,url,domain,title,snippet,modtime,region,request_id,http_status,elapsed_ms,request_executed,automatic_retry,response_format,classification
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,1,https://slavyanskieoberegi.ru/slavyanskie-oberegi/pechat-velesa/,slavyanskieoberegi.ru,Печать велеса,"Печать Велеса Волчья Лапа slavyanskie-oberegi-pechat-veles-volchya-lapa-foto-izdeliya-iz-serebra. Значение такой оберег имеет однозначный – риск для блага своего Рода и семьи, это всегда борьба и движение в одном направлении.",20160905T050638,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,specialist_content_commerce
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,2,https://www.blog.arcanum.ru/blog/pechat-velesa/,www.blog.arcanum.ru,Печать Велеса: значение для мужчин и женщин,"Активация оберега «Печать Велеса». Значение печати Велеса для мужчин. … Печать Велеса помогает им в путешествиях, бизнесе и даже на переговорах. Подробнее о значении печати Велеса, и о том, как она помогает, читайте в нашем материале.",20220425T104330,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,editorial_meaning
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,3,https://xn--80aejvmu5h.xn--80aswg/pechat-velesa/,xn--80aejvmu5h.xn--80aswg,Печать Велеса: Значение Медвежьей и Волчьей Лапы,"Печать Велеса медвежья лапа — известный оберег с силой славянского Бога Велеса. Узнайте для чего используют этот оберег и кому подойдёт. … Раз в неделю мы расскажем вам о древних обрядах, традициях и их значениях. Узнайте, как славяне отмечали самые важные даты своего календаря!",20180331T180913,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,specialist_editorial_meaning
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,4,https://vk.ru/wall-52624782_4204,vk.ru,Значение печати Велеса медвежья лапа Сегодня трудно сказать...,"Велесовы печати изображаются в виде двух знаков ― лапы волка и медведя. Оба животных считались священными, через них осуществляли свою волю в Явном мире. По смысловому значению медвежья лапа относится к знаковым оберегам. Дарующий твердость характера, защиту и сводящий на “нет” заговоры и угрозы врагов.",20210620T180449,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,community_meaning
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,5,https://dzen.ru/a/Xk5GcrOO4AK1_AxW,dzen.ru,Значение оберега Печать Велеса: медвежья и волчья лапа | Дзен,"Мифы, связанные с происхождением Велеса. Как выглядит печать. Разнообразие знаков. Медвежья лапа — значение. … Печать Велеса Медвежья лапа служит защитой от тёмных колдовских сил. Мощная энергетика оберега выставит надёжный щит. Кроме того, обладатель амулета способен реализовать магические возможности.",20200220T120107,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,community_editorial_meaning
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,6,https://artgrom.com/svojstva-i-pomoshh-slavyanskogo-amuleta-pechat-velesa/,artgrom.com,Свойства и помощь славянского амулета печать велеса...,"Можно также купить Печать Велеса в браслете или печатку с магической символикой, главное не забыть их очистить от посторонней энергетики, настроить и активировать для помощи себе. Сила колдовского оберега Лапа Велеса. Печать Бога Велеса – один из важнейших символов славянской магической традиции. Разберемся в значении талисмана Лапа Велеса.",20170913T105537,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,specialist_editorial_commerce
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,7,https://slavyanskieoberegi.ru/masterskaya-yarilo/pechat-velesa-medvezhya-lapa/,slavyanskieoberegi.ru,Печать Велеса Медвежья Лапа — серебро 925 | Ярило,"Значение печати Велеса. Талисман Велеса медвежья лапа надежно оберегает человека от негативного магического воздействия и злого умысла недоброжелателей. Талисман помогает странникам безопасно добраться до конечной цели, а также покровительствует всякому доброму ремеслу.",20160824T143934,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,specialist_product_commerce
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,8,https://beregy.ru/product/pechat-velesa-volchya-lapa-podveska,beregy.ru,Купи подвеску печать Велеса волчья лапа,Значение печати Велеса. Значение печати Велеса несет в себе много тайн и загадок. Мощный славянский оберег обладал непревзойденным потенциалом.,20151202T142604,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,specialist_product_commerce
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,9,https://slavyanskieoberegi.ru/masterskaya-yarilo/obereg-pechat-velesa-s-drugoj-storony-simvol-velesa/,slavyanskieoberegi.ru,Оберег Печать Велеса и Символ Велеса серебро | Ярило,"Особенности и значение оберегов Печать и Символ Велеса. Обережный талисман Печать и Символ Велеса не просто двусторонний с изображением древнеславянских символов, но еще и имеет одну особенность – вокруг знаков имеется ряд рун, которые существенно усиливают энергетику оберега.",20200926T170320,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,specialist_product_commerce
m_search_20260826_ddc00bf5,q_ddc00bf51857,печать велеса значение,10,https://slavyanskieoberegi.ru/masterskaya-yarilo/pechat-velesa-lapa-volka/,slavyanskieoberegi.ru,Печать Велеса Волчья Лапа — серебро 925 | Ярило,"Значение оберега Печать Велеса Волчья Лапа. Велес — Бог мудрости, достатка и хозяин дикой природы. Волк — его священный зверь, воплощение силы, хитрости и способности выживать в любых условиях.",20160824T143934,225,search-4d5ed645-c23c-45bc-b9b5-bea712eb54ae,200,1326,true,false,FORMAT_XML,specialist_product_commerce
