schema_version,query_id,query_text,cluster,intent,source_types,last_measured_at,latest_serp_request_id,serp_status,serp_measured_at,serp_region,serp_device,serp_top10_status,serp_marketplace_presence,serp_independent_presence,serp_info_presence,serp_product_block,alice_status,decision_status,decision_reason,notes
1.1,q_806670c30a84,славянские обереги,slavic_category,commercial_research,SERP_QUERY,2026-08-26,search-09aa3f63-f501-4dd7-903d-62223aff930a,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Commercial/category-first; independent specialized sites strongly represented.","Direct Search provider Top-10 observed. Browser UI/product blocks/device-specific composition not observed."
1.1,q_e624da6cb26d,печать велеса,product_core,commercial_research,SEED;WORDSTAT;SERP_QUERY,2026-08-26,search-12a4010f-75a2-4748-8a39-27561f73ffbc,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Strong transactional/product intent; very high marketplace/platform pressure.","Yandex Market occupies four Top-10 positions; one specialized independent result at #2; one clear informational result at #7."
1.1,q_16798cf404fd,оберег в машину,automotive,commercial_research,SEED;WORDSTAT;SERP_QUERY,2026-08-26,search-7236a7d2-9cb5-462d-aa90-49668e4b6c69,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Mixed commercial + choice/use-case intent.","Marketplace, independent product pages and informational choice content coexist."
1.1,q_cc67e8b8507f,подвеска на зеркало в машину,automotive,commercial_research,SEED;WORDSTAT;SERP_QUERY,2026-08-26,search-f667a06f-56ba-4ba3-8c7b-c353ee83fccc,MEASURED,2026-08-26,225,,MEASURED,YES,NO,NO,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Near-pure transactional form-factor / auto-accessory intent.","Top-10 consists entirely of marketplace/platform/catalog commerce; no standalone informational result observed."
1.1,q_67a951306107,вегвизир,norse_entity,commercial_research,WORDSTAT;SERP_QUERY,2026-08-26,search-ab2de857-7959-4968-a9f3-8b5d75cc51b2,MEASURED,2026-08-26,225,,MEASURED,YES,NO,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Mixed entity + commercial intent.","Commercial platforms dominate but three informational/entity results are present."
1.1,q_bceef2201e2d,талисман знак зодиака,zodiac,informational,WORDSTAT;SERP_QUERY,2026-08-26,search-a59d7e42-69d4-4e10-9fcf-ff7108e6d415,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Guide/selection-first; broad query contains strong stones/zodiac informational contamination.","Approximately six informational/guide results vs four commercial results."
1.1,q_8d11f0813741,алатырь оберег,slavic_symbol,commercial_research,WORDSTAT;SERP_QUERY,2026-08-26,search-bd9baea9-119c-4ec2-93db-5302893f8996,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Commercial-first with a meaningful symbol/meaning support layer.","WB result #1 snippet directly mentions Blood & Sand Alatyr car amulet with 593 ratings; marketplace visibility only, not owned-site visibility."
1.1,q_19f41f3ff755,оберег велес,slavic_symbol,commercial_research,WORDSTAT;SERP_QUERY,2026-08-26,search-de6f1c2c-d7c3-406a-84ad-a2a43a3bbe1d,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Commercial-first with strong niche independent competition.","Several specialized independent commerce sites rank alongside Ozon/WB/Livemaster."
1.1,q_b373158a2c50,подарок мужчине в машину,gift,commercial_research,WORDSTAT;SERP_QUERY,2026-08-26,search-2e6f5d82-da75-4421-add8-8ffa0b880b20,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Strong gift-shopping intent but weak default fit to our pendant category.","SERP is dominated by practical auto gifts, kits, auto chemistry and generic accessories."
1.1,q_c2f45c10ecf5,подарок автомобилисту,gift,commercial_research,SEED;WORDSTAT;SERP_QUERY,2026-08-26,search-70e6be3e-d119-41d3-9657-ec6f48d993be,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,PENDING_MORE_EVIDENCE,"Shopping + gift idea-selection; pendant is one possible option, not dominant category answer.","WB snippet contains 'Подвеска автомобилисту Волк'; one editorial ideas result appears in Top-10."
