block_id	sku	product_id	current_title	query	machine_relevance	machine_decision	observed_search_users	observed_orders	observed_gmv	machine_card_evidence	machine_ownership_type	manual_decision	manual_reason_code	manual_reason	approved_destination_field	approved_change	reviewer	review_status
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	дева знак зодиака для девочки в машину	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Автомобильный талисман знака Дева уже полностью описан; сегмент «для девочки» не является подтверждённой характеристикой SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	дева знак зодиака огненная серия	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	UNSUPPORTED_VARIANT	«Огненная серия» не подтверждена карточкой текущего SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	дева знак золиака свитшот	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Свитшот — другой товарный тип.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	для знака зодиака дева	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	NO_CHANGE_ALREADY_COVERED	Широкий зодиакальный интент уже покрыт title и описанием.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	знак зодиака дева подвеска на шею	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	USE_CASE_MISMATCH	Запрос на нательную подвеску, а SKU — автомобильная.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	знак зодиака постер дева	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=дева	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Постер — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720144370	1217132021	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Дева"". Оберег."	кулон дева в машину	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=дева	FAMILY_SHARED	REJECT	NO_CHANGE_ALREADY_COVERED	Автомобильная подвеска знака Дева уже явно указана в title; слово «кулон» не создаёт нового содержательного gap.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	брелок козерог мягкий	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=козерог	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Мягкий брелок — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	гексаграмма козерог	STRONG_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=козерог	SKU_SPECIFIC	REJECT	DIFFERENT_MOTIF_OR_PRODUCT	Гексаграмма не подтверждена дизайном текущего зодиакального SKU.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	денежная карта талисман козерог	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=козерог	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Денежная карта-талисман — другой товарный формат.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	знак зодиака козерог фигурки	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=козерог	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Фигурки — другой товар.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	картины со знаком зодиака козерог	EXACT_PRODUCT	READY_CANDIDATE	0.0	0.0	0.0	TITLE: token evidence=знак,козерог	FAMILY_SHARED	REJECT	DIFFERENT_PRODUCT_TYPE	Картина — другой товарный класс.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	кулон зодиакальный козерог	EXACT_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=козерог	SKU_SPECIFIC	REJECT	USE_CASE_OR_PRODUCT_TYPE_MISMATCH	Зодиакальный кулон без автомобильного интента — вероятно нательное украшение.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	медальон козерог	STRONG_PRODUCT	READY_CANDIDATE	1.0	0.0	0.0	TITLE: token evidence=козерог	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Медальон — иной формат украшения.			MAIN_CHATGPT	FINAL_FOR_BLOCK
B03	1720147059	1217135724	"Талисман - Подвеска на зеркало в машину. Знак зодиака ""Козерог"". Оберег."	молд козерог	STRONG_PRODUCT	READY_CANDIDATE	2.0	0.0	0.0	TITLE: token evidence=козерог	SKU_SPECIFIC	REJECT	DIFFERENT_PRODUCT_TYPE	Молд — другой товарный класс.			MAIN_CHATGPT	FINAL_FOR_BLOCK
