query_raw	query_normalized	normalization_group_id	normalization_type	normalization_reason
#амулеты_обереги_и_талисманы	амулеты обереги и талисманы	QG_54aaf93376ab	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#коловратка	коловратка	QG_6c92d4e6309d	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#мужчине_на_день_рождения	мужчине на день рождения	QG_b8a7adaa9809	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#оберег_в_машину	оберег в машину	QG_73a89b930447	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#обереги	обереги	QG_c8efdffe40d8	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#обереготсглаза	обереготсглаза	QG_34e419bf01db	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#подвеска_в_авто	подвеска в авто	QG_1e8bbaacb772	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#подвеска_в_машину	подвеска в машину	QG_6aade3fe8069	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#подвеска_в_машину_на_зеркало	подвеска в машину на зеркало	QG_6cf450e84963	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#славянские_обереги	славянские обереги	QG_dfba2a0449f3	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#славянскиеобереги	славянскиеобереги	QG_e1bf62907bf9	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
#талисманудачи	талисманудачи	QG_883655bcd3ec	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
,jubyz ;bdf	jubyz ; bdf	QG_4f7810dab2a2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
10 шилингов знаки зодиака	10 шилингов знаки зодиака	QG_f59e3defb891	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
12 з подвеска	12 з подвеска	QG_ca6bb821b6a3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
1600013 сварог	1600013 сварог	QG_5042ab79481b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
200 шт подвески звезды	200 шт подвески звезды	QG_90f1a3c4e15f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
3d подвеска в машину на зеркало	3d подвеска в машину на зеркало	QG_71a47eb0f5ff	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
3д подвеска в машину на зеркало	3д подвеска в машину на зеркало	QG_106272fda149	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
94049007 подвеска лев	94049007 подвеска лев	QG_0b2ccb4b0ad1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
bimbo twins	bimbo twins	QG_5e9e2089e336	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
cerave	cerave	QG_18a80038ed67	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
cosaque	cosaque	QG_d6cc23e3b7db	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
dtlmvbyf gjldtcrf	dtlmvbyf gjldtcrf	QG_f0e41f0eed0d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
enjoy the silence подвеска в машину	enjoy the silence подвеска в машину	QG_e6b4e0e9bdba	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
forza кимоно подвеска в машину	forza кимоно подвеска в машину	QG_2dd678ad1bb8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
fox racing подвеска на зеркало	fox racing подвеска на зеркало	QG_4fe611b51684	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
lol	lol	QG_403926033d00	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
mirroreffect брелок оберег с зеркалом	mirroreffect брелок оберег с зеркалом	QG_5a0c8c2d4bfa	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
monster energy подвеска на зеркало в машину	monster energy подвеска на зеркало в машину	QG_cca00d9730ee	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
my jewelry телец	my jewelry телец	QG_bba7b07a94de	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
no pasaran подвеска в машину	no pasaran подвеска в машину	QG_8e64a918734c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
podveska na salon	podveska na salon	QG_94537ef79f0b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
sergio ramos подвеска в машину	sergio ramos подвеска в машину	QG_24683a3f967a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
sex seven подвеска в машину	sex seven подвеска в машину	QG_2930a4c322c0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
taccardi для дев	taccardi для дев	QG_057de7067036	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
yamasaki скорпион	yamasaki скорпион	QG_0ac91707d755	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
