sku	product_id	query_raw	query_normalized	relevance_state	relevance_reason	supported_card_evidence	conflicting_card_evidence	candidate_owner_sku	confidence	manual_review_required	source_observation_count	source_slices
1602715556	1082852354	авто_стиль	авто стиль	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_GMV_ASCENDING
1602715556	1082852354	авторская подвеска на зеркало газель	авторская подвеска на зеркало газель	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.	STRUCTURED_ATTRIBUTES: token evidence=авторск			0.76	NO	1	BY_GMV_DESCENDING
1602715556	1082852354	адыгейски подвески костюмы на машину	адыгейски подвески костюмы на машину	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_GMV_ASCENDING
1602715556	1082852354	аксессуары для авто самурай	аксессуары для авто самурай	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	аксессуары самурая	аксессуары самурая	GENERIC_RELEVANT	Broad amulet/talisman/obereg product-class intent is compatible with current card.				0.72	NO	1	BY_GMV_DESCENDING
1602715556	1082852354	амулет бусина	амулет бусина	GENERIC_RELEVANT	Broad amulet/talisman/obereg product-class intent is compatible with current card.	STRUCTURED_ATTRIBUTES: token evidence=бусин			0.72	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	амулет зеркало магическое	амулет зеркало магическое	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_GMV_ASCENDING
1602715556	1082852354	амулет японский на шею	амулет японский на шею	GENERIC_RELEVANT	Broad amulet/talisman/obereg product-class intent is compatible with current card.				0.72	NO	1	BY_GMV_ASCENDING
1602715556	1082852354	амулет японский самурай	амулет японский самурай	GENERIC_RELEVANT	Broad amulet/talisman/obereg product-class intent is compatible with current card.				0.72	NO	1	BY_GMV_ASCENDING
1602715556	1082852354	амулеты обереги и талисманы зеркалр	амулеты обереги и талисманы зеркалр	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	ароматизатор в машину веселый роджер на зеркало	ароматизатор в машину веселый роджер на зеркало	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_GMV_ASCENDING
1602715556	1082852354	боковое зеркало на машину атлант левое	боковое зеркало на машину атлант левое	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	браслет зеркало оберег	браслет зеркало оберег	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_GMV_DESCENDING
1602715556	1082852354	браслет каловрат	браслет каловрат	AMBIGUOUS_HOLD	No defensible product-specific, family, or broad-class match from current card evidence.				0.42	YES	1	BY_GMV_ASCENDING
1602715556	1082852354	браслет самурай.	браслет самурай	AMBIGUOUS_HOLD	No defensible product-specific, family, or broad-class match from current card evidence.				0.42	YES	1	BY_GMV_ASCENDING
1602715556	1082852354	брелок в машину на зеркало пушистики	брелок в машину на зеркало пушистики	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	брелок в машину на зеркало спартанец	брелок в машину на зеркало спартанец	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	брелок в машину на зеркало хоккей локомотив	брелок в машину на зеркало хоккей локомотив	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	брелок на зеркало в машину бус	брелок на зеркало в машину бус	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_SEARCHES_ASCENDING
1602715556	1082852354	брелок прапорщик полиции в машину на зеркало	брелок прапорщик полиции в машину на зеркало	GENERIC_RELEVANT	Broad car pendant/mirror use-case is compatible with current product class.				0.76	NO	1	BY_GMV_DESCENDING
