schema_version,marketplace,marketplace_product_id,marketplace_sku,observed_identity_name,product_family,opportunity_id,relation_type,evidence_mode,mapping_status,relation_reason,current_identity_status,ordered_units_90d_historical,current_identity_ref,relation_evidence_ref
1.0,ozon,1082848375,1602711278,"Чётки - Талисман в машину ""RSOTM"".",warrior_talismans,OU03,USE_CASE_FIT,DERIVED,MAPPED,"Current seller offer explicitly says “Талисман в машину”; this supports automotive symbolic use-case fit, but does not by itself prove a protection claim.",FRESH_EXACT_20260826,0,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1082848825,1602711870,"Чётки - Талисман в машину ""Soldier Of Fortune"".",warrior_talismans,OU03,USE_CASE_FIT,DERIVED,MAPPED,"Current seller offer explicitly says “Талисман в машину”; this supports automotive symbolic use-case fit, but does not by itself prove a protection claim.",FRESH_EXACT_20260826,0,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1082852354,1602715556,"Чётки - Талисман в машину ""Бусидо - Путь Воина"".",warrior_talismans,OU03,USE_CASE_FIT,DERIVED,MAPPED,"Current seller offer explicitly says “Талисман в машину”; this supports automotive symbolic use-case fit, but does not by itself prove a protection claim.",FRESH_EXACT_20260826,19,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1082855228,1602717077,"Чётки ""Шлем ужаса - Эгисхьяльм"".",norse_runic,OU08,DIRECT_NAMED_SYMBOL,DERIVED,MAPPED,Current seller identity explicitly names Шлем ужаса / Эгисхьяльм.,FRESH_EXACT_20260826,22,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1082855228,1602717077,"Чётки ""Шлем ужаса - Эгисхьяльм"".",norse_runic,OU03,USE_CASE_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly frames this same stable product_id/SKU as an amulet/talisman for car,FRESH_EXACT_20260826,22,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1082855228,1602717077,"Чётки ""Шлем ужаса - Эгисхьяльм"".",norse_runic,OU04,FORM_FACTOR_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly says “Подвеска на зеркало в машину” for this same stable product_id/SKU.,FRESH_EXACT_20260826,22,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1082862005,1602722942,Вегвизир - Рунический компас,norse_runic,OU07,DIRECT_NAMED_SYMBOL,DERIVED,MAPPED,Current seller identity explicitly names Вегвизир / Vegvisir.,FRESH_EXACT_20260826,84,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1082862005,1602722942,Вегвизир - Рунический компас,norse_runic,OU03,USE_CASE_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly frames this same stable product_id/SKU as an amulet/talisman for car,FRESH_EXACT_20260826,84,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1082862005,1602722942,Вегвизир - Рунический компас,norse_runic,OU04,FORM_FACTOR_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly says “Подвеска на зеркало в машину” for this same stable product_id/SKU.,FRESH_EXACT_20260826,84,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1092556350,1611643847,Гунгнир (Gungner) - Копьё Одина.,norse_runic,,,DERIVED,NO_ACCEPTED_R3_RELATION,"Current listing identity is real, but no accepted R3 OU01–OU10 relation is directly supported by current Stage 06 evidence.",FRESH_EXACT_20260826,15,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/research/R3_OPPORTUNITY_MAP_FINAL_2026-08-26.md
1.0,ozon,1092558299,1611695246,"""Валькнут (Valknut)"" - Узел павших.",norse_runic,,,DERIVED,NO_ACCEPTED_R3_RELATION,"Current listing identity is real, but no accepted R3 OU01–OU10 relation is directly supported by current Stage 06 evidence.",FRESH_EXACT_20260826,7,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/research/R3_OPPORTUNITY_MAP_FINAL_2026-08-26.md
